japanese,english,object,read
普通の宝箱,CommonChest,SceneObj_Stages_Property_Ani_Prop_TreasureBox_01,FALSE
精巧な宝箱,ExquisiteChest,SceneObj_Chest_TreasureBox02,FALSE
貴重な宝箱,PreciousChest,SceneObj_Chest_TreasureBox04,FALSE
豪華な宝箱,LuxuriousChest,SceneObj_Stages_Property_Ani_Prop_TreasureBox_05,FALSE
珍奇な宝箱,RemarkableChest,SceneObj_Stages_Property_Ani_Prop_TreasureBox_06,FALSE
仙霊,Seelie,SceneObj_Gear_Seelie,FALSE
温暖仙霊,WarmingSeelie,SceneObj_Area_Common_Property_Ani_Prop_FireSeelie,FALSE
雷霊,ElectroSeelie,SceneObj_Area_Common_Property_Ani_Prop_ElectricSeelie,FALSE
時間制限挑戦,TimeTrialChallenge,SceneObj_Property_Stages_Prop_Challengestarter|SceneObj_Property_Stages_Prop_MirageChallengestarter,FALSE
風神の瞳,Anemoculus,SceneObj_Item_WindCrystalShell,FALSE
緋紅玉髄,CrimsonAgate,SceneObj_Area_Ljxs_Property_Ani_Prop_Essence_01,FALSE
岩神の瞳,Geoculus,SceneObj_Item_RockCrystalShell,FALSE
雷神の瞳,Electroculus,SceneObj_Area_Dq_Property_Ani_Prop_ElectricCrystal,FALSE
草神の瞳,Dendroculus,SceneObj_Area_Xm_Property_Ani_Prop_XuMiCrystal,FALSE
石積み,SumeruStonePile,SceneObj_Area_Xm_Property_Prop_SumeruCrudeChest|SceneObj_Area_Xm_Property_Prop_DesertCrudeChest,FALSE
砂の山,Sandpile,SceneObj_Area_Xm_Property_Ani_Prop_Sandpile,FALSE
水晶の塊,CrystalChunk,SceneObj_Area_Common_Property_Ani_Prop_OreCrystal,FALSE
紫水晶の塊,AmethystLump,SceneObj_Area_Common_Property_Ani_Prop_Thundercrystal,FALSE
萃凝晶,CodessenceCrystal,SceneObj_Area_Common_Property_Ani_Prop_OreFountaine,FALSE
ミント,Mint,SceneObj_Item_Plant_Mint,FALSE
スイートフラワー,SweetFlower,SceneObj_Item_Plant_Whiteballet01,FALSE
ラズベリー,Berry,SceneObj_Item_Raspberry,FALSE
ナッツ,Pine,SceneObj_Item_Drop_Plant_Pine,FALSE
松茸,Matsutake,SceneObj_Item_Food_Matsutake,FALSE
夕暮れの実,SunsetFluit,SceneObj_Item_SunsetFruit,FALSE
鳥の卵,BirdEgg,SceneObj_Item_Food_BirdEgg,FALSE
イグサ,SmallLampGrass,SceneObj_Item_Plant_Fuchsia,FALSE
カニ,Crab,Animal_Crab,FALSE
獣肉,RawMeat,Animal_Fox|Animal_Boar|Animal_Squirrel|Animal_Panther|Animal_Gator|Animal_Megamoth|Animal_Scorpion,FALSE
鳥肉,Fowl,Animal_Tit|Animal_Crane|Animal_Pigeon|Animal_Wigeon|Animal_Vulture,FALSE
慕風のマッシュルーム,PhilanemoMushroom,SceneObj_Item_WindmilHunter,FALSE
ドドリアン,CallaLily,SceneObj_Item_Plant_Callas,FALSE
ググプラム,Wolfhook,SceneObj_Item_GogoFruit,FALSE
蒲公英の種,DandelionSeed,SceneObj_Item_Plant_Dandelion,FALSE
風車アスター,WindwheelAster,SceneObj_Item_WindmilDaisy,FALSE
石珀,CorLapis,SceneObj_Area_Common_Property_Ani_Prop_ElementRock,FALSE
清心,Qingxin,SceneObj_Item_QingXin,FALSE
瑠璃百合,GlazeLily,SceneObj_Item_GlazedLily,FALSE
血石華,Dendrobium,SceneObj_Area_Common_Property_Ani_Prop_Blooddendrobe,FALSE
ユウトウタケ,FluorescentFungus,SceneObj_Area_Common_Property_Ani_Prop_Lampmushroom,FALSE
サウマラタ蓮,NilotpalaLotus,SceneObj_Area_Common_Property_Ani_Prop_MoonLotusBase,FALSE
カルパラタ蓮,KalpalataLotus,SceneObj_Area_Common_Property_Ani_Prop_Kalpalata,FALSE
ルッカデヴァータダケ,RukkhashavaMushroom,SceneObj_Area_Common_Property_Ani_Prop_HolyMushroom,FALSE
赤念の実,HennaBerry,SceneObj_Area_Common_Property_Ani_Prop_RedPearlFruit,FALSE
砂脂蛹,SandGreasePupa,SceneObj_Area_Common_Property_Ani_Prop_SandChrysalis,FALSE
ルミドゥースベル,LumidouceBell,SceneObj_Area_Common_Property_Ani_Prop_Keiskei,FALSE
蒼晶螺,BerylConch,SceneObj_Area_Common_Property_Ani_Prop_PureSeashell,FALSE
湖光の鈴蘭,LakelightLily,SceneObj_Area_Common_Property_Ani_Prop_FountainPlant,TRUE
遺跡重機,RuinGrader,Monster_Konungmathr,FALSE
ビシャップ・岩,Geovishap,Monster_Drake_Rock,FALSE
狂風のコア,EyeOfTheStorm,Monster_Elemental_Wind,FALSE
ヒルチャール暴徒,Mitachurl,Monster_Brute,FALSE
獣域ウルブズ,WolvesOfTheRiht,Monster_Hound,FALSE
アビスの魔術師,AbyssMage,Monster_Abyss,FALSE
ファデュイ・デッドエージェント,FatuiAgent,Monster_Fatuus_Fire,FALSE
ファデュイ・蛍術師,FatuiCicinMage,Monster_Fatuus_Summoner,FALSE
ミラーメイデン,FatuiMirrorMaiden,Monster_Fatuus_Maiden,FALSE
ベビービシャップ・岩,GeovishapHatchling,Monster_Wyrm_Rock,FALSE
遺跡ドレイク,RuinDrake,Monster_Gargoyle,FALSE
遺跡守衛,RuinGuard,Monster_Defender,FALSE
遺跡ハンター,RuinHunter,Monster_Formathr,FALSE
遺跡機兵,RuinSentinel,Monster_Apparatus_Enigma,FALSE
ヒルチャール,Hilichurl,Monster_Hili,FALSE
ヒルチャールシャーマン,Samachurl,Monster_Shaman,FALSE
宝盗団,TreasureHoarder,Monster_Thoarder_Male,FALSE
スライム,Slime,Monster_Slime,FALSE
野伏,Nobushi,Monster_Samurai,FALSE
フライム,Specter,Monster_Sylph,FALSE
ファデュイ先遣隊,FatuiSkirmisher,Monster_Skirmisher,FALSE
トリックフラワー,Whopperflower,SceneObj_Item_Plant_Whiteballet_ImitationGrass,FALSE
キノコン,FloatingHydroFungus,Monster_Fungus,FALSE
エレマイト旅団,TheEremites,Monster_Eremite,FALSE
